Date,Open,High,Low,Close
14/02/2022,"1,515.82","1,501.79","1,501.79","1,501.79"
11/02/2022,"1,536.60","1,518.33","1,518.33","1,518.33"
10/02/2022,"1,560.23","1,538.92","1,538.92","1,538.92"
09/02/2022,"1,551.68","1,563.53","1,563.53","1,563.53"
08/02/2022,"1,539.02","1,550.88","1,550.88","1,550.88"
07/02/2022,"1,541.74","1,538.72","1,538.72","1,538.72"
04/02/2022,"1,544.16","1,540.71","1,540.71","1,540.71"
03/02/2022,"1,553.01","1,546.99","1,546.99","1,546.99"
02/02/2022,"1,533.94","1,554.03","1,554.03","1,554.03"
01/02/2022,"1,530.88","1,534.81","1,534.81","1,534.81"
31/01/2022,"1,520.14","1,530.46","1,530.46","1,530.46"
28/01/2022,"1,488.82","1,520.30","1,520.30","1,520.30"
27/01/2022,"1,487.62","1,489.36","1,489.36","1,489.36"
26/01/2022,"1,493.98","1,487.29","1,487.29","1,487.29"
25/01/2022,"1,501.69","1,493.93","1,493.93","1,493.93"
24/01/2022,"1,506.65","1,503.89","1,503.89","1,503.89"
21/01/2022,"1,525.88","1,509.42","1,509.42","1,509.42"
20/01/2022,"1,536.07","1,525.63","1,525.63","1,525.63"
19/01/2022,"1,541.18","1,534.57","1,534.57","1,534.57"
18/01/2022,"1,561.18","1,541.38","1,541.38","1,541.38"
14/01/2022,"1,564.40","1,563.07","1,563.07","1,563.07"
13/01/2022,"1,590.26","1,565.71","1,565.71","1,565.71"
12/01/2022,"1,593.92","1,591.68","1,591.68","1,591.68"
11/01/2022,"1,583.36","1,595.84","1,595.84","1,595.84"
10/01/2022,"1,565.77","1,583.79","1,583.79","1,583.79"
07/01/2022,"1,573.76","1,567.50","1,567.50","1,567.50"
06/01/2022,"1,592.85","1,574.66","1,574.66","1,574.66"
05/01/2022,"1,604.89","1,593.93","1,593.93","1,593.93"
04/01/2022,"1,625.53","1,605.31","1,605.31","1,605.31"
03/01/2022,"1,641.69","1,627.82","1,627.82","1,627.82"
31/12/2021,"1,649.98","1,643.92","1,643.92","1,643.92"
30/12/2021,"1,648.34","1,650.43","1,650.43","1,650.43"
29/12/2021,"1,638.48","1,647.76","1,647.76","1,647.76"
28/12/2021,"1,642.72","1,637.97","1,637.97","1,637.97"
27/12/2021,"1,625.88","1,642.59","1,642.59","1,642.59"
23/12/2021,"1,619.65","1,625.57","1,625.57","1,625.57"
22/12/2021,"1,599.76","1,618.99","1,618.99","1,618.99"
21/12/2021,"1,594.54","1,600.27","1,600.27","1,600.27"
